"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 31 04:32:28 UTC 2021","Fri Dec 31 04:32:28 UTC 2021","179","","Pruebas de backend APIs REST y GRAPHQL con assertions:","","Pruebas de backend APIs REST y GRAPHQL con assertions:","Test of backend REST GET","Test of backend REST GET",""
"passed","Fri Dec 31 04:32:28 UTC 2021","Fri Dec 31 04:32:28 UTC 2021","317","","Pruebas de backend APIs REST y GRAPHQL con assertions:","","Pruebas de backend APIs REST y GRAPHQL con assertions:","Test of backend REST PUT","Test of backend REST PUT",""
"passed","Fri Dec 31 04:32:29 UTC 2021","Fri Dec 31 04:32:29 UTC 2021","316","","Pruebas de backend APIs REST y GRAPHQL con assertions:","","Pruebas de backend APIs REST y GRAPHQL con assertions:","Test of backend REST POST","Test of backend REST POST",""
"passed","Fri Dec 31 04:32:29 UTC 2021","Fri Dec 31 04:32:30 UTC 2021","268","","Pruebas de backend APIs REST y GRAPHQL con assertions:","","Pruebas de backend APIs REST y GRAPHQL con assertions:","Test of backend REST DELETE","Test of backend REST DELETE",""
"passed","Fri Dec 31 04:32:31 UTC 2021","Fri Dec 31 04:32:32 UTC 2021","279","","Pruebas de bases de datos:","","Pruebas de bases de datos:","Validar que se borre la informacion de la base de datos metida en el scenario pasado","Validar que se borre la informacion de la base de datos metida en el scenario pasado",""
"passed","Fri Dec 31 04:32:29 UTC 2021","Fri Dec 31 04:32:29 UTC 2021","299","","Pruebas de backend APIs REST y GRAPHQL con assertions:","","Pruebas de backend APIs REST y GRAPHQL con assertions:","Test of backend REST PATCH","Test of backend REST PATCH",""
"passed","Fri Dec 31 04:32:31 UTC 2021","Fri Dec 31 04:32:31 UTC 2021","729","","Pruebas de bases de datos:","","Pruebas de bases de datos:","Validar el Insert de un registro en la base de datos","Validar el Insert de un registro en la base de datos",""
"passed","Fri Dec 31 04:32:32 UTC 2021","Fri Dec 31 04:32:35 UTC 2021","2858","","My First Login with Data Provider:","","My First Login with Data Provider:","Test Login | {""user"":""username"",""password"":""password""}","Test Login | {""user"":""username"",""password"":""password""}",""
"passed","Fri Dec 31 04:32:30 UTC 2021","Fri Dec 31 04:32:30 UTC 2021","328","","Pruebas de backend APIs REST y GRAPHQL con assertions:","","Pruebas de backend APIs REST y GRAPHQL con assertions:","Test of backend GRAPHQL GET with variables","Test of backend GRAPHQL GET with variables",""
"skipped","Fri Dec 31 04:32:31 UTC 2021","Fri Dec 31 04:32:31 UTC 2021","0","","Pruebas de backend APIs REST y GRAPHQL con assertions:","","Pruebas de backend APIs REST y GRAPHQL con assertions:","Test of backend GRAPHQL Mutation with variables","Test of backend GRAPHQL Mutation with variables",""
"passed","Fri Dec 31 04:32:30 UTC 2021","Fri Dec 31 04:32:30 UTC 2021","436","","Pruebas de backend APIs REST y GRAPHQL con assertions:","","Pruebas de backend APIs REST y GRAPHQL con assertions:","Test of backend GRAPHQL GET","Test of backend GRAPHQL GET",""
